PRDLST_REPORT_NO,PRDLST_NM,BAR_CD,PRDLST_DCNM,BSSH_NM,INDUTY_NM
19950129282236,좋은상품 유기농 부침가루,8805522061018,기타가공품,사조동아원(주) 부산공장,식품제조가공업
1997031009828,쵸코카라멜,8801649120355,캔디류,한양제과주식회사,식품제조가공업
1997031009828,쵸코카라멜,8801649120355,캔디류,한양제과주식회사,식품제조가공업
201205540864,풍기홍삼愛홍삼정골드,8809359120061,액상차,풍기홍삼애제조원,식품제조가공업
19940445144166,8가지자연재료양념아삭썰은김치,8801007297224,김치,씨제이제일제당(주),식품제조가공업
1978037900186,하이바나나,8801073511330,가공유,삼양식품(주)유가공공장,축산물가공업-유가공업
1969008601623,설레임 녹차쉐이크,8801062441815,아이스밀크,롯데웰푸드(주),축산물가공업-유가공업
2001046725935,고려흑삼정,8809082727384,인삼.홍삼제품,(주)고려바이오홍삼,식품제조가공업
1995036206638,고구마전분맛,8803612000664,전분가공품,전원식품,식품제조가공업
20060445194174,에버랜드중화면,8809083701475,생면,(주)이가자연면,식품제조가공업
2010036234819,두부현미과자,8809161132214,과자,자연과나,식품제조가공업
2003060832953,수제모둠소시지5,8809090817244,소시지,(주)양형글로벌,축산물가공업-식육가공업
1994048423910,사각딸기웨하스,8801725020197,과자,서주제과(주),식품제조가공업
19880449001139,이마트 매운맛 고추장,8801161322053,고추장,신송식품주식회사,식품제조가공업
19910355148123,아리플러스 쌀국수,8803560050599,건면,(주)송학식품(제1공장),식품제조가공업
2013052804136,참치김치,8809047011657,즉석섭취식품,(주)현대푸드시스템,식품제조가공업
200303624993,코코넛미니쿠키,8809130131033,과자,해듬,식품제조가공업
2002062300988,퓨어네유기농오렌지,8809125060812,과.채주스,퓨어플러스(주),식품제조가공업
20010493358545,초이스엘 간편 고기찐만두,8807617070554,만두,(주)엄지식품,식품제조가공업
2002035548181,옥천댁 들기름,8805073512151,들기름,(주)옥천식품 제2공장,식품제조가공업
199503470242,무말랭이장아찌,8804758100614,절임식품,주식회사 상촌식품,식품제조가공업
1984053300549,펭귄참조기보일드,8809002842241,기타 수산물가공품,(주)펭귄종합식품,식품제조가공업
199701882223,연근채,8809060040610,절임식품,연꽃마을,식품제조가공업
2010033288830,명인전통흑초 단이슬,8809418970248,발효식초,주식회사 동인바이오,식품제조가공업
20050372004103,호두 크런치,8809069964139,땅콩 또는 견과류가공품,(주)에이뷰,식품제조가공업
199503380152743,바나나소프트,8801068013429,빵류,주식회사 에스피씨삼립,식품제조가공업
1983030801049,치토스매콤한맛,8801062280376,과자,롯데웰푸드 주식회사,식품제조가공업
1988044900124,저염간장,8801161225538,혼합간장,신송식품주식회사,식품제조가공업
198302400072,진미간장,8801389001150,양조간장,(주)진미식품,식품제조가공업
2005035581711,백김치,8809216851190,김치,도미솔식품,식품제조가공업
