row__PRDLST_REPORT_NO,row__PRDLST_NM,row__BAR_CD,row__PRDLST_DCNM,row__BSSH_NM,row__INDUTY_NM
1998046415549,진정원,8806111174324,혼합음료,(주)한국신약,식품제조가공업
201100844895,해담은,8809359450229,체중조절용 조제식품,(주)웰파인,식품제조가공업
201100844895,해담은,8809359450229,체중조절용 조제식품,(주)웰파인,식품제조가공업
201100844895,해담은,8809359450229,체중조절용 조제식품,(주)웰파인,식품제조가공업
2000044903584,쟈뎅프렌치바닐라,8808024015343,커피,(주)쟈뎅,식품제조가공업
1997015700154,청양닭발편육,8809062250239,양념육,참마음식품,축산물가공업-식육가공업
2010050006631,고구마정과,8809262097009,조림류,사임당푸드영농조합법인,식품제조가공업
2006036805515,카푸치노시나몬향,8809002320718,커피,(주)구띠에커피,식품제조가공업
19720288002476,식물성마아가린,8801045230146,마가린,주식회사 오뚜기,식품제조가공업
20090311271269,행복한맛남 떠먹는피자 핫멕시칸할라피뇨,8809331508160,즉석조리식품,(주)아워홈,식품제조가공업
1978057500110,와플,8801062246731,아이스밀크,롯데웰푸드(주),축산물가공업-유가공업
200502550306,생천마차,8809210043799,액상차,주식회사한주원,식품제조가공업
200203701613,찹쌀약과,8807850111137,과자,태화식품,식품제조가공업
19970445144185,초코속치즈크림케익,8809188223667,빵류,씨제이푸드빌주식회사,식품제조가공업
19960458039206,웅진 하늘보리,8801382143123,액상차,웅진식품(주),식품제조가공업
19800347002190,육수본쇠고기,8801052452236,복합조미식품,대상(주)기흥공장,식품제조가공업
201001932392,고기손만두,8809352560178,만두,준푸드,식품제조가공업
201001932392,고기손만두,8809352560178,만두,준푸드,식품제조가공업
200902570202,치즈생선까스,8809353321211,기타 어육가공품,영빈식품,식품제조가공업
2013009108323,딜라이트티라바닐라,8809400200063,침출차,(주)파프리카인터내셔널,식품제조가공업
201305270611,SALT  DAYS 1460,8809400311219,태움.용융소금,광진기연,식품제조가공업
2004035833928,생깻잎무침,8809356850572,절임식품,(주)초화림,식품제조가공업
200902140962,깍두기김치,8809356100028,김치,농업회사법인(주)운림가,식품제조가공업
200902140962,깍두기김치,8809356100028,김치,운림가,식품제조가공업
197302880065,오란씨 오렌지맛,8801097121010,탄산음료,동아오츠카(주),식품제조가공업
1994048712697,들기름을 발라 더 고소한김 재래김,8801039924648,조미김,사조씨푸드(주)익산공장,식품제조가공업
19940449005116,ㅎ태아이스쿨,8801019411892,추잉껌,해태제과식품(주)천안2공장,식품제조가공업
1979025701667,남양 이오,8801069211466,발효유,남양유업 주식회사 세종공장,축산물가공업-유가공업
2009013928320,롤케익,8809287068817,빵류,참브레드(주),식품제조가공업
201201491809,바리스타커피3B1,8809363800119,커피,주식회사 에이진,식품제조가공업
2013019702517,꿀떡,8809383320079,떡류,두레방아협동조합,식품제조가공업
2013019702517,꿀떡,8809383320079,떡류,두레방아협동조합,식품제조가공업
1975020200438,맥스웰하우스화인,8801037015485,커피,동서식품(주),식품제조가공업
20050555180219,우리 붉은 사과즙,8809253646148,과.채주스,농업회사법인(주)동서웰빙,식품제조가공업
1987015700191,초이스엘(CHOICE L) 마시는 사과요구르트,8806371304615,발효유,(주)푸르밀,축산물가공업-유가공업
19760342001168,농심가락사누끼우동,8801043006231,숙면,(주)농심,식품제조가공업
2006044519445,까르보나라소스,8809083701765,소스,(주)이가자연면,식품제조가공업
19980467010173,유기농 유아용 루이보스티,8801767630774,침출차,녹차원주식회사,식품제조가공업
200304490173,쇠고기그린다시,8809077081071,복합조미식품,주식회사 두원식품,식품제조가공업
2013045923116,무뼈닭발,8809409218007,포장육,새마을 닭집,식육포장처리업
