row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,,,,,,
1990045801682,19900458016,NHY 구운어묵,명가푸드,어묵,냉동연육. 전분. 밀가루. 정제염. 소르빈산칼륨. 글루코노-δ-락톤. L-글루타민산나트륨. 설탕,,,,,,
1997040105528,19970401055,가시오가피 냉면,주식회사 금성에프앤비,숙면,밀가루. 정제수. 타피오카전분. 가시오갈피분말. 알카리제. 정제염,,,,,,
201800123203,20180012320,공주 밀,농업회사법인 공주브루어리(주),맥주,null,,,,,,
200006190334,20000619033,까나리액젓,승우식품,조미액젓,까나라. 식염2. L-글루타민산나트륨,,,,,,
1999029407029,19990294070,날콩분말,청송식품,두류가공품,백태,,,,,,
201300150794,20130015079,내촌찹쌀생막걸리,내촌주조㈜,탁주,밀가루. 팽화미. 팽화찹쌀분말. 정제수,,,,,,
1997040105515,19970401055,냉면분말스프,주식회사 금성에프앤비,복합조미식품,설탕. 복합조미식품,,,,,,
201800124108,20180012410,느루약주,구즉주조장,약주,정제수. 쌀. 국. 효모. 아스파탐. 아세설팜칼륨,,,,,,
20010306244397,20010306244,돈골복합베이스,주식회사 화경,소스,돼지뼈엑기스. 치킨엑기스1호. 양파. 백설탕. 정제염. 효모분말. 양파분말. 효모추출분말. 마늘. 대두기름. 효모추출분말. 스테빌라이져 XC-8444. 흑후추가루. 정제수,,,,,,
2004029461410,20040294614,돌게장,(주)청호식품,절임식품,계피. 황기. 대추. 생강. 마늘. 간장. 돌게,,,,,,
2005044903966,20050449039,레드칼라O#S2133,주식회사새롬비앤에프농업회사법인,혼합제제,코치닐추출색소. 구연산삼나트륨. 황산알루미늄칼륨. 대두기름. 탄산나트륨. 정제수. 폴리글리세린축합리시놀레인산에스테르. d-토코페롤(혼합형),,,,,,
199903090941425,19990309094,레몬 엣센스 1213,(주)삼화에프앤에프,혼합제제,레몬 베이직 오일. 레몬오일. 라임오일. 오렌지오일. 리나롤. 합성착향료(α-Terpineol). 시트랄. 합성착향료(Ethanol). 시트랄. 자당지방산에스테르. 합성착향료(Ethanol). 트리아세틴,,,,,,
197506140031322,19750614003,레몬향 #1,(주)엠에스씨,천연착향료,주정. 정제수. 천연향료,,,,,,
197506140031321,19750614003,망고향 #1,(주)엠에스씨,혼합제제,망고베이직오일. S-1. 합성착향료(Ethyl maltol). 트리아세틴,,,,,,
2001052113613,20010521136,매실건강식초,매실명가 청매원,발효식초,매실식초. 올리브고당. 벌굴,,,,,,
19900368039252,19900368039,미분(B),(주)유성식품,곡류가공품,쌀,,,,,,
201200150515,20120015051,미인 탁주,최행숙 전통주가,탁주,국. 찹쌀. 정제수,,,,,,
197506140031210,19750614003,바닐라향 #1,(주)엠에스씨,혼합제제,바닐라향베이스. J-1. 벤조인 레지노이드. GRAS.NO. 2133. 프로필렌글리콜,,,,,,
197506140031271,19750614003,밤향베이스 0547,(주)엠에스씨,혼합제제,밤향베이스. 푸라네올. 프로필렌글리콜,,,,,,
197506140031218,19750614003,볶은쌀향 #1,(주)엠에스씨,향료,원재료미등록,,,,,,
2013002020115,20130020201,애플와인,블루와인컴퍼니,과실주,소브산칼륨. 메타중아황산칼륨. 효모. 백설탕. 사과열매,,,,,,
2013002015616,20130020156,여자엔 석류,삼주엘비,과실주,정제수. 사과. 배. 대추. 석류농축액. 주정. 설탕. 효모. 구연산. 베리류색소. 프락토올리고당. 소브산칼륨,,,,,,
200302190263,20030219026,우무,염주골두부,묵류,우뭇가사리,,,,,,
200404786084,20040478608,유산균발효콩(낱알형),전주기전대학(학교기업제이케이푸드),두류가공품,대두. 우유. 전지분유. 백설탕. 젖산균,,,,,,
201728801425,20172880142,자기야 생 막걸리,농업회사 법인 주식회사 충주막걸리,탁주,아세설팜칼륨,,,,,,
1994052102314,19940521023,자반볶음,대륙식품(주),조미김,김. 설탕. 옥수수오일. 맛소금. 참기름. 참깨,,,,,,
201300190912,20130019091,제주감귤주 귤로만 10%,농업회사법인제주와이너리유한회사,기타 주류,구연산. 아세설팜칼륨. 아황산나트륨. 정제수. 효모. 액상과당. 금귤. 감귤,,,,,,
1995030625160,19950306251,청다향 꿀대추차,(주)청전에프앤비,액상차,대추과육. 대추엑기스. 벌꿀. 고과당. 올리고당. 설탕. 스트로베리색소,,,,,,
1995030625159,19950306251,청다향 꿀생강차,(주)청전에프앤비,액상차,생강. 벌꿀. 생강즙. 고과당. 올리고당. 설탕. 스트로베리색소,,,,,,
1995030625155,19950306251,청다향 꿀생강차,(주)청전에프앤비,액상차,생강. 벌꿀. 생강즙. 고과당. 올리고당. 설탕. 스트로베리색소,,,,,,
1985049901140,19850499011,청정원햇살담은양조간장,대상(주),양조간장,null,,,,,,
197506140031422,19750614003,청포도향 #4,(주)엠에스씨,향료,프로필렌글리콜. 합성향료(Ethyl maltol). 주정. 합성향료. 합성향료(Ethyl 2-methylbutyrate). 합성향료(Methyl anthranilate). 합성향료(Ethyl acetate). 합성향료(Ethyl butyrate). 합성향료(Ethyl acetoacetate). 합성향료(Ethyl isobutyrate). 합성향료(cis-3-Hexen-1-ol). 합성향료(Ethyl propionate),,,,,,
200204941691,20020494169,초가집누룽지,바른길태양제과,곡류가공품,쌀,,,,,,
19950306072134,19950306072,치자황색소DY-12238,대영에프앤에스(주),치자황색소,치자황ZH. 정제수. 프로필렌글리콜,,,,,,
197506140031175,19750614003,치즈부스터향,(주)엠에스씨,혼합제제,치즈향베이스 DH-2272. 팔미트산. 미리스트산. 라우린산. 프로피온산. 카프릭산. 카프릴산. 낙산. 합성착향료(delta-Decalactone). 합성착향료(delta-Dodecalactone). 글리세린지방산에스테르,,,,,,
197506140031458,19750614003,칡향 #2,(주)엠에스씨,향료,칡. 베이스. 프로필렌글리콜. 주정. 글리세린. 정제수,,,,,,
199701200434,19970120043,칼국수,다은식품,생면,밀가루. 정제소금. 타피오카전분향. 정제수. 주정,,,,,,
201300181117,20130018111,크라테 미디엄드라이,수도산 와이너리,과실주,null,,,,,,
200303081221,20030308122,팝콘,쌀로만식품,과자,옥수수. 백설탕. 탄산수소나트륨,,,,,,
197506140031302,19750614003,한라봉향 #1,(주)엠에스씨,향료,감귤향 #3. 한라봉향 DJ-3493/B,,,,,,
