row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
20100543066281,20100543066,(수)pop파인봉봉(러시아),오케이에프음료 주식회사,과.채음료,파인애플과립. 파인애플농축액. 설탕. 구연산. 비타민 C. 착향료(파인애플향). 정제수,
20100543066279,20100543066,(수)갈아만든딸기(수출공통),오케이에프음료 주식회사,과.채음료,착향료(딸기향). 구연산. 설탕. 냉동딸기. 정제수. DL-사과산. 비타민 C. 펙틴. 식용색소적색제40호,
20100543066264,20100543066,(수)갈아만든배(수출공통),오케이에프음료 주식회사,과.채음료,합성착향료. 배퓌레. 설탕. DL-사과산. 비타민 C. 정제수,
20100543066265,20100543066,(수)갈아만든사과(수출공통),오케이에프음료 주식회사,과.채음료,사과퓌레. 사과클라우디농축액. 정제수. 설탕. 구연산. 합성？향료(사과향). 비타민 C. 펙틴. 소포제,
19930439002467,19930439002,(수)고토코 라임민트껌,대영식품(주),추잉껌,식품첨가물혼합제제. 식품첨가물혼합제제. 치자청색소. 아세설팜칼륨. D-소비톨. 식품첨가물혼합제제. 식품첨가물혼합제제. 홍화황색소. 카나우바왁스. l-멘톨. 이소말트. 껌베이스. D-말티톨. 자일리톨. 식품첨가물혼합제제. 아스파탐. 말티톨시럽. 아라비아검. 식품첨가물혼합제제,
19930439002656,19930439002,"(수)고후르츠믹스껌(애플,블루베리,자몽,딸기)",대영식품(주),추잉껌,말티톨시럽. 검베이스. D-말티톨. 자일리톨. 이소말트. 아라비아검. l-멘톨. 식품첨가물혼합제제. 자주색고구마색소. 카나우바왁스. 치자청색소. 식품첨가물혼합제제. 식품첨가물혼합제제. 식품첨가물혼합제제. 식품첨가물혼합제제. 아세설팜칼륨. 식품첨가물혼합제제. 식품첨가물혼합제제. D-소비톨. 식품첨가물혼합제제. 식품첨가물혼합제제. 식품첨가물혼합제제. 비타민 C. 식품첨가물혼합제제. 식품첨가물혼합제제. 아스파탐. 식품첨가물혼합제제,
19930439002636,19930439002,(수)라임민트껌(C),대영식품(주),추잉껌,카나우바왁스. 치자청색소. 아세설팜칼륨. 홍화황색소. 식품첨가물혼합제제. D-소비톨. 식품첨가물혼합제제. 식품첨가물혼합제제. 아스파탐. l-멘톨. D-말티톨. 식품첨가물혼합제제. 아라비아검. 말티톨시럽. 자일리톨. 이소말트. 검베이스,
19930439002443,19930439002,(수)레몬향캔디,대영식품(주),캔디류,과채가공품. 식품첨가물혼합제제. 비타민 B2. 자당지방산에스테르. 합성감미료. DL-사과산. 구연산. D-소르비톨,
19930439002639,19930439002,(수)무설탕초코볼카카오70 36g,대영식품(주),초콜릿가공품,초콜릿. D-말티톨. 아라비아검. 식품첨가물혼합제제,
19930439002533,19930439002,(수)베리믹스껌,대영식품(주),추잉껌,슈가향. 자주색고구마색소. 스트로베리향. 쉘락. 믹스베리향. l-멘톨. 아세설팜칼륨. 라스베리향. 아스파탐. 라스베리향. 비타민 C. 구연산. 스트로베리향. D-소르비톨. 블루베리향. 스트로베리향. 블루베리향. 아라비아검. DL-사과산. 말티톨시럽. 이소말트. 검베이스. 카나우바왁스. 치자청색소. D-말티톨. 자일리톨. 홍화황색소,
20100543066280,20100543066,(수)봉봉M,오케이에프음료 주식회사,과.채음료,오렌지과립. 오렌지과립농축액. 백설탕. 구연산. 비타민 C. 엠황색-1. 착향료(오렌지향). 정제수,
19930439002637,19930439002,(수)블랙민트껌(C),대영식품(주),추잉껌,플라보노이드. 카나우바왁스. 아세설팜칼륨. D-소비톨. 아스파탐. 치자청색소. 식품첨가물혼합제제. 카페인. 식품첨가물혼합제제. 식품첨가물혼합제제. 식품첨가물혼합제제. l-멘톨. 아라비아검. 말티톨시럽. 이소말트. 검베이스. 자일리톨. D-말티톨,
19930439002585,19930439002,(수)쿨민트캔디,대영식품(주),캔디류,아세설팜칼륨. 수크랄로스. 식품첨가물혼합제제. 식품첨가물혼합제제. l-멘톨. 식품첨가물혼합제제. 스테아린산칼슘. D-소르비톨,
19930439002542,19930439002,(수)페퍼민트껌,대영식품(주),추잉껌,D-말티톨. 자일리톨. 검베이스. 에리스리톨. 이소말트. 말티톨시럽. 아라비아검. 민트향. 멘톨향. l-멘톨. 민트향. 쿨링향. D-소르비톨. 아세설팜칼륨. 아스파탐. 홍화황색소. 유칼립투스오일향. 치자청색소. 쉘락. 플라보노이드. 멘톨향. 카나우바왁스,
20100543066271,20100543066,(수)포도봉봉(중국천락),오케이에프음료 주식회사,과.채음료,포도과립. 포도농축액. 정제수. 설탕. 구연산. 착향료(포도향). L-주석산. 구연산삼나트륨. 비타민 C,
19930439002628,19930439002,(수)허브민트껌,대영식품(주),추잉껌,카나우바왁스. 치자청색소. 아세설팜칼륨. 홍화황색소. 식품첨가물혼합제제. D-소비톨. 아스파탐. 식품첨가물혼합제제. 기타가공품. 식품첨가물혼합제제. 식품첨가물혼합제제. l-멘톨. 자일리톨. D-말티톨. 검베이스. 이소말트. 말티톨시럽. 아라비아검,
