row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
200906278909,20090627890,100%유기농성암영귤과즙(냉동),영농조합법인한라산성암영귤농원,액상차,영귤열매,
20030347111235,20030347111,100%유기농양배추즙,삼성바이오헬스케어(주),액상차,양배추추출액,
20170526040304,20170526040,100%유기농천지영귤과즙,천지운 주식회사 농업회사법인,액상차,영귤열매,
20170526040318,20170526040,100%유기농천지유자과즙,천지운 주식회사 농업회사법인,액상차,유자열매,
200504615161,20050461516,100%유기배즙,농업회사법인주원유기농주식회사,과.채주스,배,
200504615165,20050461516,100%유기사과주스,농업회사법인주원유기농주식회사,과.채주스,사과,
200504615167,20050461516,100%유기새싹보리농축액,농업회사법인주원유기농주식회사,과.채가공품,유기새싹보리,
2011044529220,20110445292,100%자몽주스,(주)흥국에프엔비,과.채주스,자몽착즙액,
201104000577,20110400057,"100%자연발효 블루베리식초 드링크 ""식초사랑""",농업회사법인 채향원 주식회사,음료베이스,백설탕. 블루베리발효식초. 천일염. 정제수,
201104000572,20110400057,100%자연발효블루베리유럽식식초,농업회사법인 채향원 주식회사,발효식초,정제수. 과실주,
202005740908,20200574090,100%자연산 모짜렐라 고구마피자,주식회사라망,빵류,자연치즈. 사양벌꿀. 피자소스. 고구마다이스. 빵류,
2020057409010,20200574090,100%자연산 모짜렐라 페파로니 피자,주식회사라망,빵류,피자소스. 햄. 빵류. 자연치즈. 발효소시지. 곡류가공품. 양파,
20190387777108,20190387777,100%저분자피쉬콜라겐,와이즈웨이,기타가공품,기타가공품,
200904902955,20090490295,100%전남 신안 천일염,대한염업(주),천일염,천일염,
199601995797,19960199579,100%전남신안천일염,(주)제일염업,천일염,천일염,
2017062865973,20170628659,100%제주감귤,오라향농업회사법인주식회사,과.채주스,감귤,
2017062865950,20170628659,100%제주감귤착즙,오라향농업회사법인주식회사,과.채주스,감귤,
2017062865921,20170628659,100%제주감귤착즙,오라향농업회사법인주식회사,과.채음료,감귤,
2017062865967,20170628659,100%제주감귤착즙,오라향농업회사법인주식회사,과.채주스,감귤,
2017062865964,20170628659,100%제주감귤착즙,오라향농업회사법인주식회사,과.채주스,감귤,
2017062865961,20170628659,100%제주당근감귤착즙주스,오라향농업회사법인주식회사,과.채주스,당근. 감귤,
2017062865959,20170628659,100%제주당근착즙,오라향농업회사법인주식회사,과.채주스,당근,
2017062865935,20170628659,100%제주레드비트착즙액,오라향농업회사법인주식회사,과.채가공품,레드비트뿌리,
2017062865974,20170628659,100%제주봉귤,오라향농업회사법인주식회사,과.채주스,한라봉. 감귤,
2017062865965,20170628659,100%제주비트감귤착즙주스,오라향농업회사법인주식회사,과.채주스,비트루트뿌리. 감귤,
2017062865919,20170628659,100%제주비트레몬착즙,오라향농업회사법인주식회사,과.채주스,비트루트뿌리. 레몬,
2017062865934,20170628659,100%제주비트레몬착즙,오라향농업회사법인주식회사,과.채주스,레몬. 비트루트뿌리,
2017062865948,20170628659,100%제주비트레몬착즙주스,오라향농업회사법인주식회사,과.채주스,비트루트뿌리. 레몬,
2017062865952,20170628659,100%제주천혜향감귤착즙주스,오라향농업회사법인주식회사,과.채주스,천혜향. 감귤,
2017062865931,20170628659,100%제주한라봉감귤착즙,오라향농업회사법인주식회사,과.채주스,감귤. 한라봉,
2017062865969,20170628659,100%제주한라봉감귤착즙,오라향농업회사법인주식회사,과.채주스,감귤. 한라봉,
2017062865949,20170628659,100%제주한라봉감귤착즙주스,오라향농업회사법인주식회사,과.채주스,한라봉. 감귤,
2011044529267,20110445292,100%쥬이스트감귤주스,(주)흥국에프엔비,과.채주스,감귤착즙액,
2011044529261,20110445292,100%쥬이스트레몬주스,(주)흥국에프엔비,과.채주스,레몬착즙액,
