row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,,
20210424050658,20210424050,2404매콤불닭덮밥,다원푸드서비스(주) 쉐프랑,즉석조리식품,정제수. 콩기름(대두유). 쌀. 닭다리살. 치킨향분말. 맛베이스. 사골농축엑기스. 대파. 양파. 양배추. 냉동브로콜리. 옥수수. 설탕. 정제소금. 염장마늘종. 간장. 희석초산. 조미볶음참깨. 돌김. 설탕. 참기름. 조미볶음참깨. 기타김치. 밀가루. 사과퓌레. 설탕. 마가린,,
20210424050646,20210424050,2404소고기야채비빔밥,다원푸드서비스(주) 쉐프랑,즉석조리식품,무. 당근. 쥬키니호박. 소고기. 조미고추장. 쌀. 콩기름(대두유). 정제수. 고춧가루. 사양벌꿀. 설탕. 물엿. 밀가루. 배추김치. 난황. 샐러드베이스. 계란. 마늘. 설탕. 간장. 물엿. 고춧가루. 들깻잎. 새송이버섯,,
20210424050645,20210424050,2404잡채덮밥,다원푸드서비스(주) 쉐프랑,즉석조리식품,마가린. 딸기퓌레. 딸기농축과즙. 레몬주스. 딸기. 밀가루. 기타김치. 난황. 샐러드베이스. 양파. 난백액. 전분. M맛살. 무말랭이무침. 냉동브로콜리. 청피망. 홍피망. 목이버섯. 양파. 당근. 돼지고기. 정제수. 콩기름(대두유). 쌀. 찹쌀. 당면,,
20210424050656,20210424050,2404장조림버터덮밥,다원푸드서비스(주) 쉐프랑,즉석조리식품,사과퓌레. 마가린. 밀가루. 기타김치. 참깨. 설탕. 간장. 정제수. 물엿. 땅콩. 무말랭이무침. 쌀. 버터. 당근. 대파. 양배추. 간장. 꽈리고추. 돼지사태. 콩기름(대두유). 정제수. 사과다이스,,
20210424050643,20210424050,2404쭈꾸미덮밥,다원푸드서비스(주) 쉐프랑,즉석조리식품,정제수. 콩기름(대두유). 쌀. 고춧가루. 양배추. 냉동브로콜리. 염장마늘종. 정제소금. 간장. 희석초산. 과당. 설탕. 사카린나트륨. 옥수수기름(옥배유). 김. 돌자반. 볶은참깨. 설탕. 들기름. 배추김치. 밀가루. 딸기. 딸기퓌레. 레몬주스. 딸기농축과즙. 설탕. 마가린,,
20210424050657,20210424050,2404치킨덮밥,다원푸드서비스(주) 쉐프랑,즉석조리식품,참깨. 설탕. 정제수. 물엿. 땅콩. 고춧가루. 기타김치. 당근. 액젓. 혼합양념. 물엿. 고들빼기. 마요네즈. 밀가루. 닭고기. 쌀. 콩기름(대두유). 정제수. 밀가루. 화이트컴파운드. 쇼트닝. 건조난황분말. 산도조절제. 혼합분유,,
20210424050654,20210424050,2404해물볶음우동,다원푸드서비스(주) 쉐프랑,즉석조리식품,정제수. 콩기름(대두유). 면류. 오징어채. 자숙홍합살. 자숙바지락살. 간장. 건고추. 숙주나물. 양배추. 우동소스. 빵류. 잼류. 오이피클. 아몬드. 백설탕. 물엿. 식물성유지. 합성향료,,
2019040435633,20190404356,247 데일리 견과바 딥초코,에스앤푸드주식회사,땅콩 또는 견과류가공품,기타가공품. 코코아분말. 채종유(유채유또는카놀라유). 아라비아검. 땅콩버터. 글리세린. 말티톨시럽. 가당연유. 준초콜릿. 백설탕. 기타코코아가공품. 결정과당. 과채가공품. 물엿. 준초콜릿. 땅콩 또는 견과류가공품. 두류가공품. 땅콩 또는 견과류가공품. d-토코페롤(혼합형). 레시틴,,
2019040435635,20190404356,247 데일리 견과바 레드베리,에스앤푸드주식회사,땅콩 또는 견과류가공품,땅콩 또는 견과류가공품. 두류가공품. 땅콩 또는 견과류가공품. 캔디류. 당절임. 곡류가공품. 물엿. 결정과당. 기타가공품. 백설탕. 가당연유. 말티톨시럽. 과채가공품. 글리세린. 땅콩버터. 아라비아검. 채종유(유채유또는카놀라유). 합성향료. 기타가공품. 레시틴. d-토코페롤(혼합형),,
2019040435632,20190404356,247 데일리 견과바 초코아몬드,에스앤푸드주식회사,땅콩 또는 견과류가공품,레시틴. d-토코페롤(혼합형). 땅콩 또는 견과류가공품. 땅콩 또는 견과류가공품. 두류가공품. 준초콜릿. 당절임. 물엿. 결정과당. 백설탕. 가당연유. 말티톨시럽. 아라비아검. 글리세린. 채종유(유채유또는카놀라유). 땅콩버터. 기타가공품,,
2019040435634,20190404356,247 데일리 견과바 허니피넛,에스앤푸드주식회사,땅콩 또는 견과류가공품,d-토코페롤(혼합형). 정제소금. 기타가공품. 해바라기씨앗. 당류가공품. 곡류가공품. 당류가공품. 기타설탕. 물엿. 사양벌꿀. 폴리글리시톨시럽. 땅콩 또는 견과류가공품. 땅콩 또는 견과류가공품. 땅콩버터. 두류가공품. 준초콜릿,,
20070443110641,20070443110,247 스파클링티 허니부쉬오렌지,(주)삼양패키징광혜원공장,탄산음료,식물혼합추출액. 당류가공품. 난소화성말토덱스트린(고시형). 이산화탄소. 향료. 구연산. DL-사과산. 비타민C. 스테비올배당체. 기타 농산가공품. 정제수,,
20130556117324,20130556117,247아워핏 견과,주식회사 비엘에프씨,기타가공품,검정콩. 기타가공품. 설탕. 결정과당. 유청분말. 식물성크림. 아몬드. 포도당. 난소화성말토덱스트린(고시형). 분리대두단백. 귀리. 혼합분유. 백태. 보리. 현미. 땅콩. 카제인나트륨. 효소처리스테비아. 기타가공품. 호두,,
20130556117326,20130556117,247아워핏 곡물,주식회사 비엘에프씨,기타가공품,난소화성말토덱스트린(고시형). 현미. 유청분말. 결정과당. 귀리. 백태. 강낭콩. 멥쌀. 포도당. 분리대두단백. 아몬드. 보리. 현미. 호두. 볶은쌀눈분말. 아마씨앗. 기타가공품. 검정콩. 표고버섯. 브로콜리. 녹차가루. 양배추. 미역. 멸치. 다시마. 사과. 딸기. 효소처리스테비아. 세븐베리농축분말. 캐슈견과. 마카다미아. 들깨. 검정깨(흑임자). 기타가공품. 치커리뿌리추출물. 바질씨앗,,
20130556117327,20130556117,247아워핏 귀리,주식회사 비엘에프씨,기타가공품,표고버섯. 브로콜리. 녹차가루. 양배추. 미역. 멸치. 다시마. 사과. 딸기. 효소처리스테비아. 들깨. 검정깨(흑임자). 세븐베리농축분말. 기타가공품. 곤약분말. 치커리추출물. 바질씨앗. 아마씨앗. 난소화성말토덱스트린(고시형). 호두. 유청분말. 결정과당. 아몬드. 백태. 강낭콩. 볶은귀리. 포도당. 분리대두단백. 귀리. 볶은쌀눈분말. 캐슈견과. 기타가공품. 마카다미아,,
20130556117323,20130556117,247아워핏 초코,주식회사 비엘에프씨,기타가공품,현미. 결정과당. 식물성크림. 코코아분말. 포도당. 난소화성말토덱스트린(고시형). 분리대두단백. 아몬드. 땅콩. 당류가공품. 설탕. 카제인나트륨. 혼합제제. 효소처리스테비아. 기타가공품. 기타가공품. 보리. 유청분말. 기타코코아가공품. 혼합분유,,
20130556117322,20130556117,247아워핏 흑미,주식회사 비엘에프씨,기타가공품,카제인나트륨. 효소처리스테비아. 기타가공품. 검정콩. 혼합분유. 아몬드. 보리. 기타가공품. 설탕. 땅콩. 결정과당. 검정깨(흑임자). 흑미. 식물성크림. 유청분말. 포도당. 난소화성말토덱스트린(고시형). 분리대두단백,,
2020041306895,20200413068,247폴리자임,(주)뉴트리케어,기타가공품,효모식품. 기타가공품. 과.채가공품. 블루베리농축분말. 아티초크추출분말,,
201402941497,20140294149,24H,(주)빈스페이스,커피,볶은커피,,
201900062966,20190006296,24K 골든에일,주식회사 바다토끼,맥주,정제수. 맥아. 호프펠렛. 효모. 이산화탄소,,
200803602841197,20080360284,24Y한라봉샌드시트(1호),홈플러스 주식회사,빵류,베이킹파우더포뮬러. 식품첨가물. 물엿. 웰가에스피. 한라봉향. 가공버터. 콩기름(대두유). 우유. 난황. 정제소금. 기타가공품. 살균전란액. 설탕. 한라봉. 박력분. 식물성크림. 가공유크림. 정제수. 음료베이스,,
