품목일련번호,품목명,업소명,분류번호,분류명
200808876,가스디알정50밀리그램(디메크로틴산마그네슘),일동제약(주),2390,기타의소화기관용약
200808877,페라트라정2.5밀리그램(레트로졸),(주)유한양행,4210,항악성종양제
200808948,졸뎀속붕정(졸피뎀타르타르산염),보령제약(주),1120,최면진정제
200809076,가스프렌정(모사프리드시트르산염이수화물),경동제약(주),2390,기타의소화기관용약
200809361,바르탄정(발사르탄),(주)휴온스,2140,혈압강하제
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),동아에스티(주),2180,동맥경화용제
200809710,사르발탄정160밀리그램(발사르탄),(주)서울제약,2140,혈압강하제
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),일동제약(주),2390,기타의소화기관용약
200809883,아푸르탄정150밀리그램(이르베사르탄),동아에스티(주),2140,혈압강하제
200809909,발사르텔정80밀리그램(발사르탄),주식회사제뉴원사이언스,2140,혈압강하제
200809910,발사르텔정160밀리그램(발사르탄),주식회사제뉴원사이언스,2140,혈압강하제
200809959,동광모니플루메이트정350mg,동광제약(주),1140,해열.진통.소염제
200810125,에스시탈정5밀리그램(에스시탈로프람옥살산염),(주)종근당,1170,정신신경용제
200810314,발산정80밀리그램(발사르탄),유니메드제약(주),2140,혈압강하제
200810338,가스리드정5mg(모사프리드시트르산염수화물),(주)유한양행,2390,기타의소화기관용약
200810473,엑스반정80밀리그램(발사르탄),삼진제약(주),2140,혈압강하제
200810509,뉴멘타민서방캡슐8밀리그램(갈란타민브롬화수소산염),고려제약(주),1190,기타의중추신경용약
200810522,발트렙정160밀리그램(발사르탄),경동제약(주),2140,혈압강하제
200810789,수로신디정(탐스로신염산염),(주)에스트라,2590,기타의비뇨생식기관및항문용약
200810870,로수로드정10밀리그램(로수바스타틴칼슘),(주)종근당,2180,동맥경화용제
200811004,슈니펜정(모니플루메이트),안국약품(주),1140,해열.진통.소염제
200811104,디오살탄정160밀리그램(발사르탄),(주)유한양행,2140,혈압강하제
200811105,디오살탄정80밀리그램(발사르탄),(주)유한양행,2140,혈압강하제
200811403,칸데사르정8밀리그램(칸데사르탄실렉세틸),(주)한독,2140,혈압강하제
200811404,칸데사르정16밀리그램(칸데사르탄실렉세틸),(주)에스트라,2140,혈압강하제
200811619,디로탄정160mg(발사르탄),이연제약(주),2140,혈압강하제
200811883,인케어정(옥수수불검화정량추출물),(주)한국비엠아이,2310,치과구강용약
200811971,제이코정,제이에스제약(주),1140,해열.진통.소염제
200900005,노페인에프정(수출용),크리스탈생명과학(주),1140,해열.진통.소염제
200900018,깅코탄연질캡슐120밀리그램(은행엽건조엑스),한국프라임제약(주),2190,기타의순환계용약
200900026,리버풀350연질캡슐(밀크시슬열매건조엑스),신일제약(주),3910,간장질환용제
200900193,모니맥정(모니플루메이트),맥널티제약(주),1140,해열.진통.소염제
200900194,모니필정350밀리그램(모니플루메이트),(주)테라젠이텍스,1140,해열.진통.소염제
200900195,모니메르정(모니플루메이트),알리코제약(주),1140,해열.진통.소염제
200900196,모니트정350밀리그램(모니플루메이트),(주)하원제약,1140,해열.진통.소염제
200900242,키비칼츄어블정,(유)한풍제약,3160,혼합비타민제(비타민AD혼합제제를제외)
200900378,칸데사르플러스정16/12.5밀리그램,(주)한독,2140,혈압강하제
200900605,코프나캡슐,크리스탈생명과학(주),2220,진해거담제
200900682,굿스펜연질캡슐(덱시부프로펜),광동제약(주),1140,해열.진통.소염제
200900823,가스파플러스정,(주)일화,2320,소화성궤양용제
200900833,마이칼디정,명문제약(주),3210,칼슘제
200900844,모빅캡슐7.5밀리그램(멜록시캄),한국베링거인겔하임(주),1140,해열.진통.소염제
